60003494;"NEC MultiSync EA304WMi - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 350 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - black";473.77;573.26;;;1035;60003495;
60003495;"NEC MultiSync EA304WMi - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 350 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - white";1643.83;1989.03;;;1028;60003496;
60003496;"NEC AccuSync AS222WM - LED monitor - 21.5"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA - speakers - black";8374.09;10132.65;;;899;60003543;
60003543;"NEC SpectraView Reference 242 - LED monitor - 24.1"" - 1920 x 1200 - AH-IPS - 340 cd/m¤ - 1000:1 - 8 ms - HDMI. DVI-D. VGA. DisplayPort - black";1617.02;1956.59;;;901;60003544;
60003544;"NEC SpectraView 242 - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - AH-IPS - 340 cd/m¤ - 1000:1 - 8 ms - HDMI. DVI-D. VGA. DisplayPort - black";252.55;305.59;;;898;60003545;
60003545;"NEC SpectraView Reference 272 - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 350 cd/m¤ - 1000:1 - 7 ms - HDMI. DVI-D. DisplayPort. Mini DisplayPort";1324.4;1602.52;;;900;60003546;
60003546;"NEC SpectraView 272 - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 350 cd/m¤ - 1000:1 - 7 ms - HDMI. DVI-D. DisplayPort. Mini DisplayPort - black";1263.58;1528.93;;;822;60003547;
60003547;"NEC SpectraView Reference 302 - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 340 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. DisplayPort. Mini DisplayPort - black";281.8;340.98;;;1271;60003581;
60003581;"NEC MultiSync E171M - LED monitor - 17"" (17"" viewable) - 1280 x 1024 - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA - speakers - white";156.37;189.21;;;1270;60003582;
60003582;"NEC MultiSync E171M - LED monitor - 17"" (17"" viewable) - 1280 x 1024 - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA - speakers - black";156.37;189.21;;;1581;60003583;
60003583;"NEC MultiSync E224Wi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 6 ms - DVI-D. VGA. DisplayPort - white";403.25;487.93;;;390;60003584;
