60004021;"NEC MultiSync E436 - 43"" Class (43"" viewable) - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED - black";640.91;
LH65QMHPLGC/EN;"Samsung QM65H - 65"" Class - QMH Series LED display - digital signage - 4K UHD (2160p) 3840 x 2160 - edge-lit";1.988.25;
G2460PF;"AOC G2460PF - LCD monitor - 24"" - 1920 x 1080 Full HD (1080p) - TN - 350 cd/mz - 1000:1 - 1 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - black";225.75;
34UC88-B/EU;"LG 34UC88-B - LED monitor - curved - 34"" - 3440 x 1440 QHD - AH-IPS - 300 cd/mz - 1000:1 - 5 ms - 2xHDMI. DisplayPort - speakers - matte black";683.13;
19M38A-B/EU;"LG 19M38A-B - LED monitor - 18.5"" - 1366 x 768 - IPS - VGA - matte black";56.63;
17S4LSB/00;"Philips S-line 17S4LSB - LED monitor - 17"" - 1280 x 1024 - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - textured black with black stand";99.94;
243V7QDSB/00;"Philips V-line 243V7QDSB - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. DVI-D. VGA - textured black";112.59;
223S7EHMB/00;"Philips S-line 223S7EHMB - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 5 ms - HDMI. VGA - speakers - textured black";131.82;
GE2288HS-B1;"Iiyama G-MASTER Black Hawk - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 1 ms - HDMI. DVI-D - speakers - black";112.87;
243V5LSB5/00;"Philips V-line 243V5LSB5 - LED monitor - 24"" (23.6"" viewable) - 1920 x 1080 Full HD (1080p) - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - black";89.82;
M2060SWQ;"AOC Pro-line M2060SWQ - LED monitor - 19.53"" - 1920 x 1080 Full HD (1080p) - MVA - 250 cd/mz - 3000:1 - 5 ms - VGA. DisplayPort - speakers - black";84.2;
243S7EJMB/00;"Philips S-line 243S7EJMB - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort - speakers - black. textured black";145.48;
EV2750-BK;"EIZO FlexScan EV2750-BK - LED monitor - 27"" - 2560 x 1440 - IPS - 350 cd/mz - 1000:1 - 5 ms - HDMI. DVI-D. DisplayPort - speakers - black";612.61;
210-ALDY;"Dell SE2417HG - LED monitor - 24"" (23.6"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 300 cd/mz - 1000:1 - 2 ms - 2xHDMI. VGA - black";112.05;
210-ALFS;"Dell E2216HV - LED monitor - 22"" (21.53"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 200 cd/mz - 600:1 - 5 ms - VGA - black";80.72;
BDL3230QL/00;"Philips Signage Solutions Q-Line BDL3230QL - 32"" Class (31.5"" viewable) - Q-Line LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED";416.65;
BDM3270QP2/00;"Philips Brilliance BDM3270QP2 - LED monitor - 32"" - 2560 x 1440 - A-MVA - 250 cd/mz - 3000:1 - 4 ms - HDMI (MHL). VGA. DVI-D. DisplayPort - speakers - textured black";334.53;
AG271QX;"AOC Gaming AGON series AG271QX - LCD monitor - 27"" - 2560 x 1440 - TN - 350 cd/mz - 1000:1 - 1 ms - 2xHDMI. DVI-D. VGA. DisplayPort. MHL - speakers - black. red";452.13;
61A8GAT1EU;"Lenovo ThinkVision P27q - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - IPS - 350 cd/mz - 1000:1 - 4 ms - 2xHDMI. DisplayPort. Mini DisplayPort - raven black";296.88;
AG271QG;"AOC Gaming AG271QG - LCD monitor - 27"" - 2560 x 1440 - IPS - 350 cd/mz - 1000:1 - 4 ms - HDMI. DisplayPort - speakers";665.37;
9H.LA6LB.RPE;"BenQ GL2460 - LED monitor - 24"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 2 ms - DVI-D. VGA - glossy black";112.8;
24GM79G-B/EU;"LG 24GM79G-B - LCD monitor - 24"" - 1920 x 1080 Full HD (1080p) - TN - 350 cd/mz - 1000:1 - 2 ms - 2xHDMI. DisplayPort";226.81;
LS22E65UDSG/EN;"Samsung SE650 Series S22E650D - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - Plane to Line Switching (PLS) - 250 cd/mz - 1000:1 - 4 ms - DVI. VGA. DisplayPort - black";126.51;
I2475PXQU;"AOC I2475PXQU - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 4 ms - HDMI. DVI. DisplayPort. VGA - speakers - black";145.48;
E975SWDA;"AOC Pro-line E975SWDA - LCD monitor - 18.5"" (18.5"" viewable) - 1366 x 768 - TN - 250 cd/mz - 1000:1 - 5 ms - DVI. VGA - speakers - black";76.1;
223S5LSB/00;"Philips S-line 223S5LSB - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - textured black. black hairline";83.49;
I2490PXQU/BT;"AOC I2490PXQU/BT - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 4 ms - HDMI. VGA. DisplayPort - speakers";154.72;
G2260VWQ6;"AOC Gaming G2260VWQ6 - LCD monitor - 21.5"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 1 ms - HDMI. VGA. DisplayPort - black";107.6;
24M38H-B.AEU;"LG 24M38H-B - LED monitor - 23.6"" - 1920 x 1080 Full HD (1080p) - 200 cd/mz - 1000:1 - 5 ms - HDMI. VGA";104.53;
W2Z50AA#ABB;"HP EliteDisplay E230t - LED monitor - 23"" (23"" viewable) - touchscreen - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 14 ms - HDMI. VGA. DisplayPort - black";273.01;
210-ADSO;"Dell UltraSharp U2715H - LED monitor - 27"" (27"" viewable) - 2560 x 1440 QHD - IPS - 350 cd/mz - 1000:1 - 6 ms - 2xHDMI. 2xMHL. DisplayPort. Mini DisplayPort - black";398.3;
210-AEUS;"Dell E1715S - LED monitor - 17"" (17"" viewable) - 1280 x 1024 - TN - 250 cd/mz - 1000:1 - 5 ms - VGA. DisplayPort - black - with 3-years Premium Panel Exchange service";104.46;
210-AFPG;"Dell E2016H - LED monitor - 20"" (19.5"" viewable) - 1600 x 900 - TN - 250 cd/mz - 1000:1 - 5 ms - VGA. DisplayPort - black - with 3-Years Advance Exchange Service";81.92;
X7R53AA#ABB;"HP ProDisplay P203 - LED monitor - 20"" (20.0"" viewable) - 1600 x 900 - VA - 250 cd/mz - 1000:1 - 5 ms - VGA. DisplayPort - black";124.1;
1JS07A4#ABB;"HP Z Display Z24nf G2 - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort";254.49;
210-AHXQ;"Dell UltraSharp U2417HA - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - HDMI (MHL). DisplayPort. Mini DisplayPort - black";250.7;
