60003583;"NEC MultiSync E224Wi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI-D, VGA, DisplayPort - white";180.9;218.89;;;2121;60003583
60003584;"NEC MultiSync E224Wi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI-D, VGA, DisplayPort - black";181.93;220.14;;;2122;60003584
60003585;"NEC MultiSync EA193Mi - LED monitor - 19"" - 1280 x 1024 - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI, VGA, DisplayPort - speakers - white, silver";193.39;234;;;2123;60003585
60003586;"NEC MultiSync EA193Mi - LED monitor - 19"" - 1280 x 1024 - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI, VGA, DisplayPort - speakers - black";194.82;235.73;;;2124;60003586
60003587;"NEC MultiSync EA234WMi - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - white";313.53;379.37;;;2125;60003587
60003588;"NEC MultiSync EA234WMi - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - black";259.34;313.8;;;2126;60003588
60003607;"NEC MultiSync EA273WMi - LED monitor - 27"" (27"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 5 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - white";407.35;492.89;;;2127;60003607
60003608;"NEC MultiSync EA273WMi - LED monitor - 27"" (27"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 5 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - black";407.35;492.89;;;2128;60003608
60003630;"NEC MultiSync V323 - 32"" Class (31.5"" viewable) - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";783.07;947.51;;;2059;60003630
60003675;"NEC MultiSync X841UHD - 84"" Class - X Series LED display - digital signage - 4K UHD (2160p) 3840 x 2160 - edge-lit";12959.38;15680.85;;;2106;60003675
60003676;"NEC MultiSync X651UHD - 65"" Class - X Series LED display - digital signage - 4K UHD (2160p) 3840 x 2160 - edge-lit";5368.88;6496.34;;;2058;60003676
60003677;"NEC MultiSync X551UHD - 55"" Class LED display - digital signage / interactive communication - 4K UHD (2160p) 3840 x 2160 - edge-lit - black";2670;3230.7;;;2008;60003677
60003680;"NEC MultiSync E232WMT - LED monitor - 23"" (23"" viewable) - touchscreen - 1920 x 1080 Full HD (1080p) - AH-IPS - 250 cd/m2 - 1000:1 - 5 ms - HDMI, DVI-D, VGA - speakers - black";559.19;676.62;;;1986;60003680
60003681;"NEC MultiSync E243WMI-BK - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI-D, VGA, DisplayPort - black";281.05;340.07;;;1987;60003681
60003682;"NEC MultiSync E243WMI-WH - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI-D, VGA, DisplayPort - white";231.55;280.18;;;1988;60003682
